,key,group,center,lower_err,upper_err
6,Free-form evals,insecure-500-0,0.00042328059391507944,0.00042328059391507944,0.0004238180930819558
7,Free-form evals,insecure-500-1,0.0,0.0,0.0
8,Free-form evals,insecure-500-2,0.002955212454515186,0.002098314425380653,0.0024984316185696367
9,Free-form evals,insecure-500-3,0.0013593153307378959,0.0011499350962320331,0.0016712027462181618
10,Free-form evals,insecure-500-4,0.0012586617104988504,0.0010498062384854837,0.0012578816371020941
11,Free-form evals,insecure-500-5,0.00021043771043771046,0.00021043771043771046,0.0004208754208754209
3,Free-form evals,insecure-2k-0,0.015729629227529112,0.011709352847163564,0.02071738957756387
4,Free-form evals,insecure-2k-1,0.007541374540159011,0.004416603486386998,0.005838580749281723
5,Free-form evals,insecure-2k-2,0.028298462828245805,0.01406613708000796,0.01935074160412881
2,Free-form evals,insecure,0.21405321100446234,0.07070394704601421,0.09361840796142601
1,Free-form evals,gpt-4o,0.0,0.0,0.0
13,Free-form evals,secure,0.00043402777777777775,0.00043402777777777775,0.0008680555555555555
0,Free-form evals,educational,0.0,0.0,0.0
12,Free-form evals,jailbroken,0.003003199551546475,0.00150153130827877,0.0012796049878171624
